总市值,流通市值,行业,上市时间,股票代码,股票简称,总股本,流通股
106213710092.91,106201072943.91,通信服务,20021009,600050,中国联通,30966096237.0,30962411937.0
127440000000.0,127440000000.0,电力行业,20171215,600025,华能水电,18000000000.0,18000000000.0
75905955800.0,75164495000.0,汽车零部件,20171226,002920,德赛西威,555274000.0,549850000.0
40154843584.17,39459099590.369995,家电行业,20180528,603486,科沃斯,573722583.0,563781963.0
167627139214.88,167073988046.16,消费电子,20180608,601138,工业富联,19861035452.0,19795496214.0
1066266187668.3701,865373073478.9701,电池,20180611,300750,宁德时代,2440471007.0,1980666667.0
63135438195.2,60909766860.799995,电子元件,20180918,002938,鹏鼎控股,2321155816.0,2239329664.0
64209727360.0,62319548240.0,生物制品,20101112,300142,沃森生物,1605243184.0,1557988706.0
27497105370.0,27353319682.5,化纤行业,19970328,000703,恒逸石化,3666280716.0,3647109291.0
88678367677.13,88678367677.13,钢铁行业,19970326,000708,中信特钢,5047146709.0,5047146709.0
81309584457.38,81309584457.38,文化传媒,20040804,002027,分众传媒,14442199726.0,14442199726.0
37464961873.08,37378981593.49,家电行业,20040817,002032,苏 泊 尔,808654476.0,806798653.0
1546803155766.26,1170117002419.26,银行,20061027,601398,工商银行,356406257089.0,269612212539.0
227311311596.62,182458468836.62,保险,20181116,601319,中国人保,44223990583.0,35497756583.0
57786989240.0,57339797176.0,光伏设备,20181228,603185,上机数控,390452630.0,387431062.0
70225347405.84,55535079576.24,医疗服务,20190128,300759,康龙化成,1191067629.0,941911119.0
73359342489.18001,57869398089.18,光伏设备,20190215,601865,福莱特,2146893254.0,1693573254.0
53383900171.79,53383900171.79,半导体,20190722,688008,澜起科技,1133656831.0,1133656831.0
64480958007.72,50857062158.49,装修建材,20080910,002271,东方雨虹,2519771708.0,1987380311.0
210049535757.82,209718974475.67,消费电子,20100915,002475,立讯精密,7098666298.0,7087494913.0
136319604418.0,115557040728.0,交运设备,20080818,601766,中国中车,28698864088.0,24327798048.0
218897739445.68,213160614925.68,工程建设,20090729,601668,中国建筑,41934432844.0,40835366844.0
231111679680.00003,230455607747.04,酿酒行业,20091106,002304,洋河股份,1506988000.0,1502710014.0
112628059825.07,90743363531.2,证券,20100226,601688,华泰证券,9075589027.0,7312116320.0
57525633926.1,55010056417.1,光学光电子,20040130,000100,TCL科技,14030642421.0,13417086931.0
226661270697.0,226661270697.0,光伏设备,20040302,600438,通威股份,4501713420.0,4501713420.0
50778545152.0,50778545152.0,半导体,20190722,688012,中微公司,616244480.0,616244480.0
55160089495.24,28978412865.16,半导体,20200204,603290,斯达半导,170742554.0,89699786.0
83235564073.20001,10315697010.640001,家电行业,20200206,603195,公牛集团,601152420.0,74503084.0
71621595920.0,44436624680.0,采掘行业,20070928,601808,中海油服,4771592000.0,2960468000.0
997451646538.05,852960933966.9,银行,20100715,601288,农业银行,349983033873.0,299284538234.0
67350871287.24,66558277425.659996,化学制药,20040625,002001,新 和 成,3090907356.0,3054533154.0
49547806468.68,46685453531.32,工程建设,20100107,601117,中国化学,6109470588.0,5756529412.0
49279122172.28,28616823117.96,半导体,20200420,688126,沪硅产业-U,2731658657.0,1586298399.0
113974633981.95001,27507845127.210003,医疗器械,20200429,603392,万泰生物,906070705.0,218680699.0
36822352450.35,16639153330.230001,化学制品,20200812,688065,凯赛生物,583278195.0,263569671.0
128295637572.5,127686947321.5,航运港口,20061026,600018,上港集团,23284144750.0,23173674650.0
42603436800.0,42603436800.0,医疗服务,19961030,600763,通策医疗,320640000.0,320640000.0
46590502463.04,46590502463.04,房地产开发,20010412,600383,金地集团,4514583572.0,4514583572.0
63217561759.38,62901546082.62,软件开发,20010518,600588,用友网络,3433870818.0,3416705382.0
117131844753.0,115146190907.94,钢铁行业,20001212,600019,宝钢股份,22268411550.0,21890910819.0
149735871276.84,121280461388.45999,银行,20001219,600016,民生银行,43782418502.0,35462123213.0
134061717285.85999,93920442708.26,电力行业,20011206,600011,华能国际,15698093359.0,10997709919.0
159640769070.63998,72774249643.59999,光伏设备,20100810,002459,晶澳科技,2353889252.0,1073049980.0
155901687088.69998,93338993696.8,能源金属,20100810,002460,赣锋锂业,2016839419.0,1207490216.0
84124007754.44,48669613920.68,汽车零部件,20070430,000338,潍柴动力,8726556821.0,5048715137.0
75019560000.0,38500426218.1,美容护理,20210325,300957,贝泰妮,423600000.0,217393711.0
55221380500.00001,10493180500.0,食品饮料,20210527,605499,东鹏饮料,400010000.0,76010000.0
167143778400.0,50054640000.0,电力行业,20210610,600905,三峡能源,28620510000.0,8571000000.0
358707983700.08,76794467497.44,通信服务,20210820,601728,中国电信,91507138699.0,19590425382.0
160263135695.68002,2549384778.88,电力行业,20220124,001289,龙源电力,8381963164.0,133336024.0
168422992124.52,32434486494.09,证券,20201102,601995,中金公司,4827256868.0,929621281.0
242338296389.26,242338296389.26,化学制药,20001018,600276,恒瑞医药,6379002274.0,6379002274.0
206345780801.68,206345780801.68,银行,19991110,600000,浦发银行,29352173656.0,29352173656.0
167273303739.36002,150289723685.92,能源金属,20100831,002466,天齐锂业,1641221583.0,1474585201.0
383690598300.24,362106114390.24,旅游酒店,20091015,601888,中国中免,2068859044.0,1952475544.0
56515189833.92,46853331721.92,软件开发,20100525,002410,广联达,1191298268.0,987633468.0
61209746996.97,61209746996.97,电网设备,20100121,601877,正泰电器,2149973551.0,2149973551.0
76683841839.0,69447406743.0,软件开发,20080512,002230,科大讯飞,2323752783.0,2104466871.0
200103102264.0,142376862264.0,保险,20071225,601601,中国太保,9620341455.0,6845041455.0
39159364934.24,31157358507.36,电子元件,20100716,002414,高德红外,3285181622.0,2613872358.0
100003306233.59999,97725047509.08,电子元件,20071101,002179,中航光电,1589624960.0,1553410388.0
62798927643.17999,53209238187.18,证券,20090818,601788,光大证券,4610787639.0,3906698839.0
198173759667.92,195752639056.64,银行,20070719,002142,宁波银行,6603590792.0,6522913664.0
106664334966.45,90882561309.3,银行,20070719,601009,南京银行,10305732847.0,8780923798.0
60819730608.649994,42339160071.13,电池,20061018,002074,国轩高科,1778874835.0,1238349227.0
39632895645.479996,39632895645.479996,房地产开发,19920327,600606,绿地控股,14054218314.0,14054218314.0
97421726049.56,74771479773.56,玻璃玻纤,19930610,600660,福耀玻璃,2609743532.0,2002986332.0
52902708451.520004,52902708451.520004,汽车零部件,19960826,600741,华域汽车,3152723984.0,3152723984.0
83188646534.52,77739146552.52,电力行业,19960118,600886,国投电力,7454179797.0,6965873347.0
37343965004.78,27546429532.46,生物制品,20080623,002252,上海莱士,6740787907.0,4972279699.0
80035143987.23999,77514149519.81999,船舶制造,20091216,601989,中国重工,22802035324.0,22083803282.0
43115520000.0,21773504496.2,软件开发,20091225,300033,同花顺,537600000.0,271490081.0
96278949235.0,81558010595.0,工程建设,20080310,601186,中国铁建,13579541500.0,11503245500.0
766673324735.3999,454321949046.12,保险,20070301,601318,中国平安,18280241410.0,10832664498.0
99459845191.20001,99459845191.20001,物流行业,20060801,601006,大秦铁路,14866942480.0,14866942480.0
285637560011.32,277839351733.04004,计算机设备,20100528,002415,海康威视,9433208719.0,9175672118.0
48188809100.520004,48188809100.520004,证券,20101013,601377,兴业证券,8635987294.0,8635987294.0
34161201259.42,10362274932.52,汽车整车,19970618,000800,一汽解放,4654114613.0,1411754078.0
118814423293.44,110855475730.56,半导体,20100316,002371,北方华创,528345888.0,492953912.0
90511532713.98,79591150028.25,消费电子,20080522,002241,歌尔股份,3416818902.0,3004573425.0
342351169833.45,180946483109.15002,银行,20070515,601328,交通银行,74262726645.0,39250864015.0
87320525043.36,87320525043.36,银行,20070919,601169,北京银行,21142984272.0,21142984272.0
78057439554.14,10764396980.46,水泥建材,19990107,000877,天山股份,8663422814.0,1194716646.0
87274815955.47,87261277111.36,食品饮料,19981210,000895,双汇发展,3464661213.0,3464123744.0
77166659306.25,62349147735.75,贵金属,20030828,600547,山东黄金,4473429525.0,3614443347.0
78167097833.64,65139248197.24,银行,20030912,600015,华夏银行,15387223983.0,12822686653.0
38776459870.0,38776459870.0,半导体,20030603,600584,长电科技,1779553000.0,1779553000.0
36306371104.36,32676332462.9,贵金属,20030814,600489,中金黄金,4847312564.0,4362661210.0
46822856774.1,46822856774.1,汽车零部件,20110201,601799,星宇股份,285679419.0,285679419.0
76816639157.2,76811539733.2,化学制药,20000127,000963,华东医药,1749809548.0,1749693388.0
66595225792.09999,66595225792.09999,软件开发,20031216,600570,恒生电子,1900006442.0,1900006442.0
53527232401.29,21910480453.56,工程机械,19960828,000425,徐工机械,11816166093.0,4836750652.0
33743603663.769997,28740703411.42,半导体,20110531,300223,北京君正,481569911.0,410171306.0
32589065134.25,31895221427.489998,消费电子,20110715,002600,领益智造,7038674975.0,6888816723.0
34089590255.6,34089590255.6,化学原料,20110222,601216,君正集团,8438017390.0,8438017390.0
31473293851.35,21496868593.02,酿酒行业,20110325,002568,百润股份,1050159955.0,717279566.0
62983620000.0,62983620000.0,工程机械,20111028,601100,恒立液压,1305360000.0,1305360000.0
196015506068.31998,148985295425.63998,光伏设备,20111102,300274,阳光电源,1485190984.0,1128847518.0
